Country,City,Lifestyle_Level,Rent_Type,Monthly_Rent,Monthly_Utilities,Monthly_Transport,Monthly_Groceries,Monthly_School_Fees,Monthly_Dining,Monthly_Healthcare,Monthly_Misc,Total_Monthly_Cost,Currency,Source,Source_URLs,Last_Verified,Estimation_Flag,Notes
Canada,Ottawa,Basic,1BHK,1900,285,125,310,0,80,0,100,2800,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca; Realtor.ca Ottawa; OC Transpo monthly pass; Ottawa Hydro/Enbridge rates","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.realtor.ca/; https://www.octranspo.com/en",2026-02-18,N,"Rent=Numbeo Ottawa city-centre 1-bed ~$1,900 (Rentals.ca median $1,800-$2,100). Utilities=Ottawa Hydro electricity $85 + Enbridge gas/heating $80 + water $0 (municipal) + internet $70 + phone $50 = $285. Transport=OC Transpo monthly pass $125. Ottawa has cold winters — heating costs significant Oct-Apr."
Canada,Ottawa,Basic,Family (2-3 BHK),2800,380,125,310,0,80,0,100,3795,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca Ottawa 2-3 bed; OC Transpo monthly pass","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.octranspo.com/en",2026-02-18,Y,"Rent=Rentals.ca/Realtor.ca Ottawa 2-3 bed median $2,600-$3,000. Utilities higher for larger dwelling (higher heating + electricity). School fees NOT included — private school adds $800-$1,800/month; public school = $0. Ottawa has excellent public schools in both English and French."
Canada,Ottawa,Moderate,Shared Accommodation,850,85,165,420,0,190,0,200,1910,CAD,"Numbeo Ottawa (Feb 2026); Kijiji/Roomies.ca; OC Transpo monthly pass","https://www.numbeo.com/cost-of-living/in/Ottawa; https://www.kijiji.ca/; https://www.octranspo.com/en",2026-02-18,N,"Rent=same shared room. Transport=OC Transpo $125 + occasional Uber $40/month. Groceries=standard Loblaws/Metro mid-range. Dining=6-8 meals/month. Misc=phone contract $55 + streaming $25 + gym $55 + personal $65."
Canada,Ottawa,Moderate,1BHK,1900,285,165,420,0,190,0,200,3160,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca; OC Transpo monthly pass","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.octranspo.com/en",2026-02-18,N,"Most common scenario for single settled doctor in Ottawa. OC Transpo + occasional Uber. Ottawa offers proximity to Parliament Hill and federal institutions. The Ottawa Hospital is a major academic centre affiliated with University of Ottawa."
Canada,Ottawa,Moderate,Family (2-3 BHK),2800,380,165,420,0,190,0,200,4155,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca; OC Transpo monthly pass","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.octranspo.com/en",2026-02-18,Y,"Family home in Ottawa neighbourhood (e.g. Kanata, Barrhaven, Orleans, Nepean). School fees NOT included. Ottawa has excellent bilingual school system."
Canada,Ottawa,Premium,Shared Accommodation,850,85,475,520,0,370,200,400,2900,CAD,"Numbeo Ottawa (Feb 2026); Kijiji/Roomies.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Ottawa; https://www.kijiji.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,Y,"Unusual combination. Transport=OC Transpo + car ownership (insurance $160/mo + fuel $130/mo + parking $35/mo + maintenance $25/mo = $350 + OC Transpo $125). Healthcare=Sun Life/Manulife supplementary plan ~$200/month. Misc=premium phone $80 + streaming $40 + premium gym $70 + clothing/leisure $210."
Canada,Ottawa,Premium,1BHK,1900,285,475,520,0,370,200,400,4150,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,N,"Premium lifestyle in Ottawa. Transport includes car ownership. Healthcare=Sun Life/Manulife supplementary plan ~$200/month. Groceries=Farm Boy/Whole Foods premium + ByWard Market specialty produce."
Canada,Ottawa,Premium,Family (2-3 BHK),2800,380,475,520,1500,370,200,400,6645,CAD,"Numbeo Ottawa (Feb 2026); Rentals.ca; Sun Life/Manulife 2026; Fraser Institute school fee survey","https://www.numbeo.com/cost-of-living/in/Ottawa; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/; https://www.fraserinstitute.org/",2026-02-18,Y,"Premium family lifestyle in Ottawa. School fees=$1,500/month (Ontario private school range $1,000-$2,000/month; no Quebec-style subsidies). Healthcare=family supplementary plan ~$200/month. Ottawa is an excellent family city with low crime, strong schools, and bilingual culture."
Canada,Winnipeg,Basic,Shared Accommodation,600,75,120,280,0,70,0,90,1235,CAD,"Numbeo Winnipeg (Feb 2026); Kijiji/Roomies.ca Winnipeg; Winnipeg Transit monthly pass; Manitoba Hydro rates 2025-26","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://www.kijiji.ca/; https://winnipegtransit.com/",2026-02-18,N,"Rent=Kijiji/Roomies.ca Winnipeg shared room median $550-$650/mo (most affordable among all Canadian cities in this tool). Utilities=personal share $75 (hydro top-up + phone SIM $25). Transport=Winnipeg Transit monthly pass $107 (Peggo card). Groceries=Superstore/No Frills budget. Healthcare=$0 Manitoba Health covers GP + hospital. Winnipeg has harsh winters (Nov-Mar) but very affordable housing."
Canada,Winnipeg,Basic,1BHK,1400,320,120,280,0,70,0,90,2280,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca; Realtor.ca Winnipeg; Winnipeg Transit; Manitoba Hydro/Centra Gas rates","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://www.realtor.ca/; https://winnipegtransit.com/",2026-02-18,N,"Rent=Numbeo Winnipeg city-centre 1-bed ~$1,200 (Rentals.ca median $1,100-$1,400). Utilities=Manitoba Hydro electricity $80 + Centra Gas heating $90 + water/sewer $40 + internet $60 + phone $50 = $320. Winnipeg has the highest heating costs among the 3 Canadian cities due to extreme winters (-30C common). Most affordable 1BHK among all cities in this tool."
Canada,Winnipeg,Basic,Family (2-3 BHK),1700,400,120,280,0,70,0,90,2660,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca Winnipeg 2-3 bed; Winnipeg Transit","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://winnipegtransit.com/",2026-02-18,Y,"Rent=Rentals.ca/Realtor.ca Winnipeg 2-3 bed median $1,500-$1,900. Utilities higher for larger dwelling (significantly higher heating bills in winter for larger space). School fees NOT included — private school adds $500-$1,200/month; public school = $0."
Canada,Winnipeg,Moderate,Shared Accommodation,600,75,153,370,0,170,0,180,1548,CAD,"Numbeo Winnipeg (Feb 2026); Kijiji/Roomies.ca; Winnipeg Transit","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://www.kijiji.ca/; https://winnipegtransit.com/",2026-02-18,N,"Rent=same shared room. Transport=Winnipeg Transit $107 + occasional Uber $33/month. Groceries=standard Safeway/Sobeys mid-range. Dining=6-8 meals/month. Misc=phone contract $50 + streaming $25 + gym $45 + personal $60."
Canada,Winnipeg,Moderate,1BHK,1400,320,153,370,0,170,0,180,2593,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca; Winnipeg Transit","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://winnipegtransit.com/",2026-02-18,N,"Most common scenario for single settled doctor in Winnipeg. Excellent value — lowest cost among all cities in this tool. Health Sciences Centre Winnipeg and St. Boniface Hospital are major teaching hospitals (University of Manitoba). Winnipeg Transit + occasional Uber."
Canada,Winnipeg,Moderate,Family (2-3 BHK),1700,400,153,370,0,170,0,180,2973,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca; Winnipeg Transit","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://winnipegtransit.com/",2026-02-18,Y,"Family home in Winnipeg neighbourhood (e.g. River Heights, St. Vital, Charleswood, Tuxedo). School fees NOT included. Winnipeg offers the best family affordability among all cities in this tool."
Canada,Winnipeg,Premium,Shared Accommodation,600,75,433,480,0,330,180,380,2478,CAD,"Numbeo Winnipeg (Feb 2026); Kijiji/Roomies.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://www.kijiji.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,Y,"Unusual combination. Transport=Winnipeg Transit + car ownership (insurance $180/mo — Manitoba Public Insurance rates among highest in Canada + fuel $100/mo + parking $25/mo + maintenance $8/mo = $313 + Transit $107). Healthcare=Sun Life/Manulife supplementary plan ~$180/month. Note: Manitoba has highest auto insurance rates in Canada (MPI monopoly)."
Canada,Winnipeg,Premium,1BHK,1400,320,433,480,0,330,180,380,3523,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,N,"Premium lifestyle in Winnipeg. Transport includes car ownership (almost essential in Winnipeg winters). Healthcare=Sun Life/Manulife supplementary plan ~$180/month. Groceries=Sobeys premium + Forks Market specialty. Car insurance notably high due to MPI monopoly (~$180/mo)."
Canada,Winnipeg,Premium,Family (2-3 BHK),1700,400,433,480,1000,330,180,380,4903,CAD,"Numbeo Winnipeg (Feb 2026); Rentals.ca; Sun Life/Manulife 2026; Fraser Institute school fee survey","https://www.numbeo.com/cost-of-living/in/Winnipeg; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/; https://www.fraserinstitute.org/",2026-02-18,Y,"Premium family lifestyle in Winnipeg. School fees=$1,000/month (Manitoba private school range $500-$1,200/month — among lowest private school fees in Canada). Healthcare=family supplementary plan ~$180/month. Winnipeg offers the most affordable premium lifestyle among all cities in this tool. Harsh winters (-30C to -40C) are the main quality-of-life trade-off."
Canada,Toronto,Basic,Shared Accommodation,1000,110,156,350,0,100,0,100,1816,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca Q4 2025; SpareRoom.ca Toronto; TTC fares 2026; StatsCan CPI","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.spareroom.ca/; https://www.ttc.ca/; https://www.statcan.gc.ca/",2026-02-18,N,"Rent=SpareRoom.ca/Kijiji Toronto median $900-$1,100 for room in shared house. Utilities=personal share (internet $65 + phone $45). Transport=TTC adult monthly Metropass $156. Groceries=No Frills/FreshCo budget. Healthcare=$0 OHIP covers GP + hospital. School fees=$0. Toronto is Canada's most expensive city — highest rents and HST 13%."
Canada,Toronto,Basic,1BHK,2400,265,156,350,0,100,0,100,3371,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca Q4 2025; Zumper Toronto National Rent Report; TTC fares 2026; Toronto Hydro; Enbridge Gas","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.zumper.com/; https://www.ttc.ca/",2026-02-18,N,"Rent=Rentals.ca/Zumper Toronto city-centre 1-bed avg $2,300-$2,500 (midpoint $2,400). Utilities=Toronto Hydro electricity $70 + Enbridge gas/heating $45 + water (often included in condo fees) $15 + internet $70 + phone $65 = $265. Transport=TTC monthly pass $156. Toronto is Canada's most expensive city."
Canada,Toronto,Basic,Family (2-3 BHK),3500,340,156,350,0,100,0,100,4546,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca Toronto 2-3 bed; Realtor.ca; TTC fares 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.realtor.ca/; https://www.ttc.ca/",2026-02-18,Y,"Rent=Rentals.ca/Realtor.ca Toronto 2-3 bed median $3,200-$3,800. Utilities higher for larger unit (hydro $100 + gas $55 + water $20 + internet $70 + phone $65 + tenant insurance $30 = $340). School fees NOT included — private school adds $1,500-$3,000/month; public school = $0."
Canada,Toronto,Moderate,Shared Accommodation,1000,110,200,450,0,200,0,200,2160,CAD,"Numbeo Toronto (Feb 2026); SpareRoom.ca; TTC fares 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://www.spareroom.ca/; https://www.ttc.ca/",2026-02-18,N,"Rent=same shared room (lifestyle affects spending not accommodation type). Transport=TTC $156 + occasional Uber $44/month. Groceries=standard Loblaws/Metro mid-range. Dining=6-8 meals/month mix casual/mid-range. Misc=phone $65 + streaming $30 + gym $55 + personal $50."
Canada,Toronto,Moderate,1BHK,2400,265,200,450,0,200,0,200,3715,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca; TTC fares 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.ttc.ca/",2026-02-18,N,"Most common scenario for single settled doctor in Toronto. TTC + occasional Uber. Toronto offers highest concentration of teaching hospitals in Canada (UHN, SickKids, Sunnybrook, Mount Sinai). Ontario HST 13% applies to most purchases."
Canada,Toronto,Moderate,Family (2-3 BHK),3500,340,200,450,0,200,0,200,4890,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca; Realtor.ca; TTC fares 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.realtor.ca/; https://www.ttc.ca/",2026-02-18,Y,"Family apartment in Toronto neighbourhood (e.g. North York, Scarborough, Etobicoke). School fees NOT included. Moderate lifestyle with standard Loblaws/Metro shopping."
Canada,Toronto,Premium,Shared Accommodation,1000,110,500,550,0,400,200,450,3210,CAD,"Numbeo Toronto (Feb 2026); SpareRoom.ca; Sun Life/Manulife supplemental health insurance 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://www.spareroom.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,Y,"Unusual combination (Premium lifestyle with shared accommodation). Transport=TTC + car (insurance $250/mo + fuel $150/mo + parking $60/mo ≈ $460 + occasional transit $40). Healthcare=Sun Life/Manulife supplemental plan covering dental + vision + prescriptions + paramedical ~$200/month. Misc=premium phone $80 + streaming $40 + premium gym $80 + clothing/leisure $250."
Canada,Toronto,Premium,1BHK,2400,265,500,550,0,400,200,450,4765,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca; Sun Life/Manulife 2026","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,N,"Premium 1-bed in downtown Toronto (Yorkville, King West, Harbourfront). Transport=car ownership + TTC. Healthcare=supplemental private plan covering dental/vision/prescriptions ~$200/month. Groceries=Whole Foods/Pusateri's + Loblaws organic."
Canada,Toronto,Premium,Family (2-3 BHK),3500,340,500,550,1500,400,200,450,7440,CAD,"Numbeo Toronto (Feb 2026); Rentals.ca; Sun Life/Manulife 2026; Fraser Institute School Rankings","https://www.numbeo.com/cost-of-living/in/Toronto; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/; https://www.fraserinstitute.org/",2026-02-18,Y,"Premium family lifestyle in Toronto — Canada's most expensive city. School fees=$1,500/month (mid-range private school; top schools like UCC/Havergal/Crescent run $2,500-$3,500/month). Healthcare=family supplemental plan ~$200/month. Transport includes car ownership. Ontario HST 13% applies to most purchases."
Canada,Vancouver,Basic,Shared Accommodation,1100,110,142,340,0,100,0,100,1892,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca Q4 2025; SpareRoom.ca Vancouver; TransLink fares 2026; BC Hydro; StatsCan CPI","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.spareroom.ca/; https://www.translink.ca/; https://www.statcan.gc.ca/",2026-02-18,N,"Rent=SpareRoom.ca/Craigslist Vancouver median $1,000-$1,200 for room in shared house. Utilities=personal share (internet $65 + phone $45). Transport=TransLink adult monthly Compass Card (2 zones) $131. Groceries=No Frills/SaveOnFoods budget. Healthcare=$0 MSP (BC eliminated premiums in 2020). School fees=$0."
Canada,Vancouver,Basic,1BHK,2500,260,142,340,0,100,0,100,3442,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca Q4 2025; Zumper Vancouver; TransLink fares 2026; BC Hydro","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.zumper.com/; https://www.translink.ca/",2026-02-18,N,"Rent=Rentals.ca/Zumper Vancouver city-centre 1-bed avg $2,400-$2,600 (midpoint $2,500). Utilities=BC Hydro electricity $60 + gas $40 + water (often included) $10 + internet $70 + phone $65 + tenant insurance $15 = $260. Vancouver has mild winters reducing heating costs but highest rents in Canada."
Canada,Vancouver,Basic,Family (2-3 BHK),3800,340,142,340,0,100,0,100,4822,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca Vancouver 2-3 bed; Realtor.ca; TransLink fares 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.realtor.ca/; https://www.translink.ca/",2026-02-18,Y,"Rent=Rentals.ca/Realtor.ca Vancouver 2-3 bed median $3,500-$4,200 (midpoint $3,800). Utilities higher for larger unit (BC Hydro $90 + gas $50 + water $15 + internet $70 + phone $65 + tenant insurance $25 + strata levy difference $25 = $340). School fees NOT included — private school adds $1,200-$2,800/month."
Canada,Vancouver,Moderate,Shared Accommodation,1100,110,186,430,0,200,0,200,2226,CAD,"Numbeo Vancouver (Feb 2026); SpareRoom.ca; TransLink fares 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://www.spareroom.ca/; https://www.translink.ca/",2026-02-18,N,"Rent=same shared room. Transport=TransLink $131 + occasional Uber/taxi $44/month. Groceries=standard SaveOnFoods/Safeway mid-range. Dining=6-8 meals/month. Vancouver has excellent Asian cuisine options. Misc=phone $65 + streaming $30 + gym $55 + personal $50."
Canada,Vancouver,Moderate,1BHK,2500,260,186,430,0,200,0,200,3776,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca; TransLink fares 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.translink.ca/",2026-02-18,N,"Most common scenario for single settled doctor in Vancouver. TransLink + occasional Uber. Vancouver has major teaching hospitals (VGH, St. Paul's, BC Children's). BC PST 7% + GST 5% = 12% combined on purchases."
Canada,Vancouver,Moderate,Family (2-3 BHK),3800,340,186,430,0,200,0,200,5156,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca; Realtor.ca; TransLink fares 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.realtor.ca/; https://www.translink.ca/",2026-02-18,Y,"Family apartment in Vancouver area (e.g. Burnaby, Richmond, Coquitlam). School fees NOT included. Moderate lifestyle with standard SaveOnFoods/Safeway shopping."
Canada,Vancouver,Premium,Shared Accommodation,1100,110,480,550,0,400,200,450,3290,CAD,"Numbeo Vancouver (Feb 2026); SpareRoom.ca; Sun Life/Manulife 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://www.spareroom.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,Y,"Unusual combination (Premium lifestyle with shared accommodation). Transport=TransLink + car (ICBC insurance $220/mo + fuel $140/mo + parking $80/mo ≈ $440 + occasional transit $40). Healthcare=Sun Life/Manulife supplemental dental + vision + prescriptions + paramedical ~$200/month. BC has mandatory ICBC for auto insurance — notably expensive."
Canada,Vancouver,Premium,1BHK,2500,260,480,550,0,400,200,450,4840,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca; Sun Life/Manulife 2026","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,N,"Premium 1-bed in central Vancouver (Yaletown, Coal Harbour, Kitsilano). Transport=car + TransLink. Healthcare=supplemental private plan ~$200/month. Groceries=Whole Foods + Choices Markets organic. ICBC mandatory auto insurance is notably expensive in BC (~$2,400-$2,800/year)."
Canada,Vancouver,Premium,Family (2-3 BHK),3800,340,480,550,1300,400,200,450,7520,CAD,"Numbeo Vancouver (Feb 2026); Rentals.ca; Sun Life/Manulife 2026; Fraser Institute BC School Rankings","https://www.numbeo.com/cost-of-living/in/Vancouver; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/; https://www.fraserinstitute.org/",2026-02-18,Y,"Premium family lifestyle in Vancouver — second most expensive Canadian city. School fees=$1,300/month (mid-range private school; top schools like St. George's/Crofton House run $2,200-$3,000/month). Healthcare=family supplemental plan ~$200/month. Transport includes car (ICBC mandatory). BC PST 7% + GST 5% = 12%."
Canada,Calgary,Basic,Shared Accommodation,800,100,126,320,0,90,0,90,1526,CAD,"Numbeo Calgary (Feb 2026); Rentals.ca Q4 2025; Kijiji Calgary; Calgary Transit fares 2026; ENMAX; StatsCan CPI","https://www.numbeo.com/cost-of-living/in/Calgary; https://rentals.ca/; https://www.kijiji.ca/; https://www.calgarytransit.com/; https://www.statcan.gc.ca/",2026-02-18,N,"Rent=Kijiji/SpareRoom Calgary median $700-$900 for room in shared house. Utilities=personal share (internet $60 + phone $40). Transport=Calgary Transit adult monthly pass $112. Groceries=No Frills/Superstore budget. Healthcare=$0 Alberta Health Care Insurance Plan. School fees=$0. Calgary has NO provincial sales tax (PST) — only 5% GST."
